team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_variance_values
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2009,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3679.0,1,0,0,0,82,41,low_danger_chances_for,-4.099999999999909
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2009,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3683.0,1,0,0,0,82,47,low_danger_chances_for,118.90000000000009
Boston Bruins,6,Regular Season,2,Other,0,0,2009,3.8333333333333333,100,77,6,0.77,0.077922076,3921.0,1,0,0,0,82,39,low_danger_chances_for,232.9000000000001
Buffalo Sabres,7,Regular Season,2,Other,0,0,2009,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3776.0,1,0,0,0,82,45,low_danger_chances_for,6.900000000000091
Montreal Canadiens,8,Regular Season,2,Other,0,0,2009,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3874.0,1,0,0,0,82,39,low_danger_chances_for,14.900000000000091
Ottawa Senators,9,Regular Season,2,Other,0,0,2009,1.5000000000000000,32,16,4,0.5,0.25,3793.0,1,0,0,0,82,44,low_danger_chances_for,13.900000000000091
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2009,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3817.0,1,0,0,0,82,30,low_danger_chances_for,323.9000000000001
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2009,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3703.0,1,0,0,0,82,35,low_danger_chances_for,-71.09999999999991
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2009,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3735.0,1,0,0,0,82,35,low_danger_chances_for,-82.09999999999991
Florida Panthers,13,Regular Season,2,Other,0,0,2009,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3842.0,1,0,0,0,82,32,low_danger_chances_for,-133.0999999999999
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2009,0.09433962264150943396,32,16,3,0.5,0.1875,3711.0,1,0,0,0,82,34,low_danger_chances_for,-215.0999999999999
Washington Capitals,15,Regular Season,2,Other,0,0,2009,2.5714285714285714,50,33,1,0.66,0.030303031,3799.0,1,0,0,0,82,54,low_danger_chances_for,89.90000000000009
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2009,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3876.0,1,0,0,0,82,52,low_danger_chances_for,189.9000000000001
Detroit Red Wings,17,Regular Season,2,Other,0,0,2009,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3852.0,1,0,0,0,82,44,low_danger_chances_for,190.9000000000001
Nashville Predators,18,Regular Season,2,Other,0,0,2009,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3920.0,1,0,0,0,82,47,low_danger_chances_for,188.9000000000001
St Louis Blues,19,Regular Season,2,Other,0,0,2009,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3671.0,1,0,0,0,82,40,low_danger_chances_for,-47.09999999999991
Calgary Flames,20,Regular Season,2,Other,0,0,2009,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3827.0,1,0,0,0,82,40,low_danger_chances_for,195.9000000000001
Colorado Avalanche,21,Regular Season,2,Other,0,0,2009,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3801.0,1,0,0,0,82,43,low_danger_chances_for,-260.0999999999999
Edmonton Oilers,22,Regular Season,2,Other,0,0,2009,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3803.0,1,0,0,0,82,27,low_danger_chances_for,-20.09999999999991
Vancouver Canucks,23,Regular Season,2,Other,0,0,2009,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3724.0,1,0,0,0,82,49,low_danger_chances_for,-9.099999999999909
Anaheim Ducks,24,Regular Season,2,Other,0,0,2009,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3779.0,1,0,0,0,82,39,low_danger_chances_for,-103.09999999999991
Dallas Stars,25,Regular Season,2,Other,0,0,2009,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3829.0,1,0,0,0,82,37,low_danger_chances_for,-29.09999999999991
